OBJECTID *,Material,Wt_lbs_ft,size_mm,Wt_kg_m,cost_2012_m,Embodied_Energy_MJ_kg,Emissions_kgCO2_eq_m,Excavation_vol_m3_m
1,PVC,0.289,19,0.426673,1.5235,42.273014,2.1329,0.181987792
2,PVC,0.312,20,0.426673,1.6476,42.10426,2.30664,0.183306312
3,PVC,0.424,25,0.625984,2.2741,41.270539,3.18374,0.189966408
4,PVC,0.624,32,0.625984,3.168,40.130992,4.4352,0.199479542
5,PVC,0.711,40,1.049705,4.2136,38.86713,5.89904,0.210621696
6,PVC,0.984,50,2.22,4.15,37.09,5.81,0.224954389
7,PVC,1.5,63,2.3656,6.5836,35.5716,9.21704,0.244259639
8,PVC,2.01,75,2.5,8.83,34.17,12.362,0.262754869
9,PVC,2.452,90,2.698,9.298,32.55,13.0172,0.286785158
10,PVC,2.938,100,2.83,9.61,31.47,13.454,0.30336785
11,PVC,3.3,125,3.5,12,29,16.8,0.346793331
12,PVC,5.61,160,5.81,19.08,26.08,26.71,0.412314004
13,PVC,8.522,200,9.98,32.91,21.62,46.074,0.493944773
14,PVC,12.635,250,15.05,49.75,17.92,69.65,0.606108235
15,PVC,17.384,300,21.46,70.32,14.85,98.448,0.729521696
16,PVC,20.852,350,29.03,48.06,12.31,67.284,0.864185158
17,PVC,26.81,400,37.82,63.59,10.2,89.026,1.010098619
18,PVC,33.544,450,47.67,80.42,8.45,112.588,1.167262081
19,PVC,41.047,500,58.8,99.12,7,138.768,1.335675542
20,PVC,58.233,600,84.9,140.26,4.61,196.364,1.706252465
21,steel,1.126829,19,1.68,19.34,15.45,1.3,0.181987792
22,steel,1.341463,20,2,19.5,15.45,1.3,0.183306312
23,steel,1.676829,25,2.5,19.74,15.45,1.3,0.189966408
24,steel,2.267073,32,3.38,20.15,15.45,1.3,0.199479542
25,steel,2.716463,40,4.05,20.51,15.45,1.3,0.210621696
26,steel,3.64878,50,5.44,21.26,15.45,1.3,0.224954389
27,steel,5.781707,63,8.62,22.1,15.45,1.3,0.244259639
28,steel,7.579268,75,11.3,22.91,15.45,1.3,0.262754869
29,steel,9.121951,90,13.6,23.81,15.45,1.3,0.286785158
30,steel,10.79878,100,16.1,24.68,15.45,1.3,0.30336785
31,steel,14.554878,125,21.7,26.63,15.45,1.3,0.346793331
32,steel,18.981707,160,28.3,28.73,15.45,1.3,0.412314004
33,steel,28.573171,200,42.6,33.66,15.45,1.3,0.493944773
34,steel,40.445122,250,60.3,41.89,15.45,1.3,0.606108235
35,steel,49.5,300,73.8,50.12,15.45,1.3,0.729521696
36,steel,54.530488,350,81.3,57.46,15.45,1.3,0.864185158
37,steel,65.463415,400,97.6,65.87,15.45,1.3,1.010098619
38,steel,70.426829,450,105,76.68,15.45,1.3,1.167262081
39,steel,78.47561,500,117,87.9,15.45,1.3,1.335675542
40,steel,94.573171,600,141,151.48,15.45,1.3,1.706252465
41,DICL,7.713415,40,11.5,23,35,2.6,0.210621696
42,DICL,7.914634,50,11.8,23.74,35.8,2.796,0.224954389
43,DICL,8.626146,63,12.8608,24.9048,34.552,2.69824,0.244259639
44,DICL,9.282927,75,13.84,25.98,33.4,2.608,0.262754869
45,DICL,10.24878,90,15.28,27.45,32.056,2.503,0.286785158
46,DICL,10.892683,100,16.24,28.43,31.16,2.433,0.30336785
47,DICL,13.016667,125,19.406667,30.455,28.535,2.228,0.346793331
48,DICL,15.990244,160,23.84,33.29,24.86,1.941,0.412314004
49,DICL,10.094512,200,15.05,45.07,53.31,4.163,0.493944773
50,DICL,27.084146,250,40.38,69.2,30.5,2.382,0.606108235
51,DICL,34.777439,300,51.85,72.75,24.97,1.95,0.729521696
52,DICL,40.378049,350,60.2,80.42,23.78,1.857,0.864185158
53,DICL,49.271951,400,73.46,114.08,27.64,2.159,1.010098619
54,DICL,57.166463,450,85.23,127.17,26.56,2.074,1.167262081
55,DICL,67.462195,500,100.58,138.39,24.49,1.913,1.335675542
56,DICL,81.091463,600,120.9,185.15,27.37,2.138,1.706252465
57,PE,4.63296,25,6.84,8.28,25.31,2.052,0.189966408
58,PE,5.147733333,50,7.6,9.21,25.31,2.28,0.224954389
59,PE,6.454986667,100,9.53,11.54,25.31,2.859,0.30336785
60,PE,8.094133333,160,11.95,14.45,25.31,3.585,0.412314004
61,PE,10.13968,200,14.97,18.1,25.31,4.491,0.493944773
62,PE,26.74789333,350,39.49,47.69,25.31,11.847,0.864185158
63,PE,29.45045333,375,43.48,52.5,25.31,13.044,0.9
64,PE,44.196,450,65.25,78.55,25.31,19.575,1.167262081
